name,locality,lat,long,review
Kapoor's Cafe,"337, 27th Main, Sector 2, HSR, Bangalore",12.9080043138,77.6518711075,1331
Samosa Party,"112, Ground Floor, Sector 4, 11th Cross Road, HSR, Bangalore",12.9172885573,77.6435164378,3435
Kirti Kitchen,"108, Ground Floor, Old Madiwala, 35 Division, BTM, Bangalore",12.9191330392,77.6181124896,7117
Arogya Ahaara,"108, 4th Cross, 13th Main, Jakkasandra, 5th Sector, HSR, Bangalore",12.9180438486,77.6376889274,871
The ThickShake Factory,"Basement Level, 87, 14th Main Road, 4th Sector, Opposite BDA Complex, HSR Layout, HSR, Bangalore",12.9131430000,77.6381020000,1108
A2B - Adyar Ananda Bhavan,"27, Ground Floor, BDA Complex, HSR Layout, HSR, Bangalore",12.9136569734,77.6376024261,516
Beijing Bites,"2738, 1st Floor, HSR Layout, HSR, Bangalore",12.9128416153,77.6519267634,746
Andhra Gunpowder,"13/A, 18th Main, Sector 3, HSR, Bangalore.",12.9069317418,77.6440692320,8985
Sharief Bhai,"66, Ground Floor, JNC Road, Koramangala 5th Block, Bangalore",12.9331068055,77.6146923378,2335
Punjabi Nawabi,"78/4, Ground Floor, Lakedew Residency Compound, Opposite Airtel Office, Haralur Main Road, HSR, Bangalore",12.8971940674,77.6584663242,921
Kannur Food Kitchen,"4/01, Lower Ground Floor, 1st Main, Kalyani Mansion, Taarakere, BTM, Bangalore",12.9241806456,77.6112288972,41
Goli Vada Pav No. 1,"15, 27th Main, Ward 174, 1st Sector, HSR, Bangalore",12.9210630484,77.6515113562,0
WarmOven Cake & Desserts,"659, Parangi Palaya, 22nd Cross Road, Sector 2, HSR, Bangalore",12.9088360278,77.6478930563,9009
Theobroma,"Shop-39, Shabari Arcade, 14th Main Road, Opposite Max Showroom, HSR, Bangalore",12.9113900000,77.6379610000,17
Swad Punjab Da,"324, 23rd Main, 3rd Cross, 2nd Stage, BTM, Bangalore",12.9143121992,77.6129180565,358
Ghee And Turmeric,"1/120, 14th Main Road, Sector 5, HSR, Bangalore",12.9162073000,77.6380229000,913
Szechuan Dragon,"76/1, 7th Cross, Sector 1, HSR Layout, HSR, Bangalore",12.9196495432,77.6511527349,37414
Nadan Pothichoru,"1/120, 14th Main Road, 5th Sector, HSR, Bangalore",12.9161118553,77.6375585049,1399
99 Variety Dosa & Pav Bhaji,"17G, 18th Cross, Third Sector, HSR, Bangalore",12.9117720052,77.6424448192,229
HSR High Street,"235, 9th Main, Sector 6, HSR, Bangalore",12.9127697199,77.6352575049,1012
XO Belgian Waffle,"3716/1664, 101/A, Sector 2, 27th Main, HSR, Bangalore",12.9101641501,77.6517933235,347
Magnolia Bakery,"Plot C1, Campus 8A, The Market Place, RMZ Ecoworld, Outer Ring Road, Bellandur, Bangalore",12.9204258137,77.6853977144,60
Sichuan,"1552, 19th Main, HSR Layout, Sector 1, Near IOC Petrol Bunk, HSR, Bangalore",12.9210679502,77.6451692730,960
Mr. Shawarma & Miss. Grill's,"688, 7th Main Road, 10th Cross Road, Btm 2nd Stage, BTM, Bangalore",12.9124050137,77.6064314693,1325
Kulfi Shulfi- Kulfis and Ice Cream,"1, 1634, 22nd Cross, Sector 2, 26th Main Road, HSR, Bangalore",12.9085755660,77.6513943449,549
Hotel Manu,"119, Neardevi Eye Clinic, Sector 5, HSR, Bangalore",12.9163474730,77.6375501230,250
New Mangalore Lunch Home,"8th Cross Road, Venkatapura, Teachers Colony, Koramangala 1st Block, Bangalore",12.9207421437,77.6347425208,81
Ziyan's Cafe 27th,"91, 18th Cross, 27th Main Road, Sector 2, HSR, Bangalore",12.9113072970,77.6522938907,150
Nandhana Palace,"7, 4th Block, 100 Feet Road, Near BDA Complex, Koramangala 4th Block, Bangalore",12.9319095143,77.6228063554,1462
Al-Bek,"1/120, 5th Sector, HSR Layout, 14th Main Road, HSR, Bangalore",12.9164174066,77.6375330240,34156
Biriyani Zone,"1005, 9th Main Road, Sector 7, Hsr Layout, HSR, Bangalore",12.9117300000,77.6350700000,530
Imperio Restaurant,"53/2, S 319, Doddakannelli Village, Varthur Hobli, Sarjapur Road, Bangalore",12.9093484538,77.6876749098,2725
Five Star Chicken,"Shop 1152, 22nd B Main, HSR, Bangalore",12.9087706673,77.6476882026,5
Nandhini Deluxe,"2224 & 2225, AECS Layout, Singsandra Hosur Main Road, Bommanahalli, Bangalore",12.8841243000,77.6434020079,4274
Kabab Magic,"1565, 1st Sector, Agara, Service Road, HSR, Bangalore",12.9227140000,77.6459000000,376
Imperial Restaurant,"47, 6th Cross, 6th Block, Koramangala 6th Block, Bangalore",12.9363401822,77.6251247898,300
Kanti Sweets,"806, Ground Floor, PGR Tower, 19th Main Road, Sector 2, Near Cambridge School, HSR, Bangalore",12.9078546377,77.6445329189,6823
MOJO Pizza - 2X Toppings,"Building 1, F2, First Floor, Haralukunte, Sector 2, BDA Layout, HSR, Bangalore",12.9052950000,77.6490970000,9636
Behrouz Biryani,"Shop 2318, BDA Society, Sector-1, HSR, Bangalore",12.9120870391,77.6516582072,6120
CakeZone,"72/4, Ground Floor, Roopena Agrahara, Hosur Road, Madiwala Post, Koramangala 2nd Block, Bangalore",12.9122550000,77.6270320000,2045
Ovenstory Pizza,"Shop 2318, BDA Society, Sector-1, HSR, Bangalore",12.9120762547,77.6517152041,4288
BOX8 - Desi Meals,"Building 1, F2, First Floor, Haralukunte, Sector 2, BDA Layout, HSR, Bangalore",12.9052950000,77.6490970000,22315
Hyderabad Biryaani House,"44, First Floor, Srikanta Complex, 4th B Cross, Koramangala Industrial Layout, Koramangala 5th Block, Bangalore",12.9341018208,77.6157042012,844
RNR Biryani - Taste Of 1953,"07, Ground Floor, 4th B Block, 100 Feet Road, Near Koramangala 4th Block, Bangalore",12.9317490192,77.6228794267,723
Sri Udupi Food Hub,"02, Bhuwanappa Layout, Dairy Hosur Main Road, Koramangala 7th Block, Bangalore",12.9340480000,77.6105850000,5
Taco Bell,"Site 452, Ground Floor, Khata 350/452, 17th Cross Road, HSR Layout, 4th Sector, HSR, Bangalore",12.9123300000,77.6412150000,1
Chicking,"1/120, 14th Main Road, 5th Sector, HSR Layout, HSR, Bangalore",12.9162072788,77.6375900209,9067
EatFit,"72/4, Roopena Agrahara, Madivala Post, HSR, Bangalore",12.9123050000,77.6269780000,86573
WOW! Momo,"1/120, 14th Main Road, 5th Sector, HSR, Bangalore",12.9164174066,77.6375367120,67
Potful - Claypot Biryanis,"24, 1st D Main, Jakkasandra, Koramangala 1st Block, Bangalore",12.9265693422,77.6390119269,5244
Natural Ice Cream,"Shop 1669/A, 14th Main, 7th Sector, HSR, Bangalore",12.9106141545,77.6380899176,30
Ambur Star Briyani Since 1890,"9, 100 Ft Road, Stage 2, BTM, Bangalore",12.9166255735,77.6112393290,375
Biryani Trip - Destination Hyderabad,"13/A, 18th Main Sector 3, HSR, Bangalore",12.9070734000,77.6441176000,5738
Shanmukha,"53/2, Sl 319, Doddakannelli Village, Varthur Hobli, Sarjapur Road, Bangalore",12.9093582579,77.6877483353,313
Biryani By Kilo,"671, 1st Floor, HSR Layout Sector 7, HSR, Bangalore",12.9086095535,77.6350221410,1407
Anand Sweets And Savouries,"Khatha 686\14, Survey 14, Ground Floor, Kaikondhalli Village, Sarjapur Road, Bangalore",12.9167229576,77.6733643189,496
Nagarjuna,"138, 1st Cross, KHB Colony, Koramangala 5th Block, Bangalore",12.9335871582,77.6211189106,2647
Kwality Wall’s Frozen Dessert and Ice Cream Shop,"168, Reliable Residency, Layout Sector 2, Somsandra Palya Adur, HSR, Bangalore",12.8968740000,77.6554430000,23
EasyBites by Empire,"169/A/170, Sector 6, HSR, Bangalore",12.9151922578,77.6357634366,1302
Pizza @99,"23, 13th Cross, 20th Main, Muruthi Nagar, 1st Stage, BTM, Bangalore",12.9208807014,77.6136120781,545
Roti Wala. Com,"239, 7th Cross, Stage 2, BTM, Bangalore",12.9135092615,77.6041039824,326
Wendy's,"13/23, Survey 23, 1st Floor, Above Hdfc Bank, Harlur Main Road, Ambalipura Village, Sarjapur Road, Bangalore",12.9136990000,77.6663840000,971
Royal Biryani Kitchen,"39, 1 St 'C' Cross, Opp Swaraj Hyper Market, Chocolate Factory Road, Tavarekere, BTM, Bangalore",12.9240083000,77.6126000000,31497
Sardarji Londonwaley,"78/4, Ground Floor, Lakedew Residency Compound, Opposite Airtel Office, HSR, Bangalore",12.8971404693,77.6584871113,17920
Chinese Wok,"Katha 688/1212, Ground Floor, Sector-III, Hosur Sarjapur Road, HSR, Bangalore",12.9093000000,77.6387010000,1175
"Frozen Bottle - Milkshakes, Desserts And Ice Cream","88, Celler Floor, 17th Cross, 14th Main, Sector 4, HSR, Bangalore",12.9123945561,77.6383480802,5327
Donne Biriyani House,"916, Ground Floor, 5th Main, 7th Sector, HSR Layout, Near HSR, Bangalore",12.9089892982,77.6325994357,24
Amma's Pastries,"770, Ground Floor, 16th Main, 2nd Stage, HSR, Bangalore",12.9141749451,77.6352585107,1172
Narmada Chain of Restaurants,"3rd Floor, Opposite Green Glen Layout, Bellandur, Bangalore",12.9238297000,77.6731834000,0
Savoury Restaurant,"69, Kaikondrahalli, Sarjapur Road, Bangalore",12.9140223315,77.6779371500,534
Meat And Eat,"Shop 6, KSV Complex, Kodichikkanahalli Main Road, Bommanahalli, Bangalore",12.8930624024,77.6199283451,40
Rolls On Wheels,"NO.982, 7TH CROSS, 24TH MAIN ROAD, FIRST SECTOR, H S R LAYOUT, HSR, Bangalore",12.9195454467,77.6496975124,174
The Pizza Bakery,"Unit 2, The Bay, Campus 8A, RMZ Ecoworld, Outer Ring Road, Sarjapur Road, Bangalore",12.9194600000,77.6846400000,213
Paratha Envy,"13/A, 1st Floor, Sri Sai Documents And Developers Building, 18th Main, Sector 3, HSR, Bangalore",12.9069886058,77.6440742612,3937
Call Me Chow,"40, 1st Floor, Nagappa Reddy Layout, Doddakannelli Village, Sarjapur Road, Bangalore",12.9089560000,77.6929501000,6657
The Punjabi Rasoi,"404, 4th Floor, Saket Callipolis, Doddakannelli, Sarjapur Road, Bangalore",12.9099870240,77.6854654402,1461
Barbeque Nation,"86, 1st Cross, Koramangala 1st Block, Bangalore",12.9254174421,77.6369560137,4584
Chulha Chauki Da Dhaba,"Survey 57/58/1/2, 6th Floor, Saket Callipolis, Doddakanahalli, Near Wipro, Sarjapur Road, Bangalore",12.9096144704,77.6852025837,1842
The Belgian Waffle Co.,"647, 27th Main Road, Sector 2, Sector 5, 1st Sector, HSR, Bangalore",12.9160970000,77.6518400000,443
Baskin Robbins,"1664, 27th Main, 2nd Sector, HSR, Bangalore",12.9099628407,77.6519763842,22
Namaste,"Site 1086/A & 1087/A, 14th Main, 18th Cross, Sector 3, Near BDA Complex, HSR, Bangalore",12.9120092610,77.6392325386,147
Aromas Of Biryani,"Property 532, Doddakannelli Junction, Varthur Hobli, Sarjapur Road, Bangalore",12.9076650913,77.6944210008,301
Great Indian Khichdi by EatFit,"72/4, Ground Floor, Roopena Agrahara, Hosur Road, HSR, Bangalore",12.9122520722,77.6271327585,486
Anjappar,"24 & 25, Ground Floor, BDA Complex, HSR Layout, HSR, Bangalore",12.9144703681,77.6372443512,376
Glens Bakehouse,"2337, Sector 1, 17th Cross, 24th Main, HSR, Bangalore",12.9121031000,77.6482987000,543
Big Bowl Company,"Katha 688/1212, Ground Floor, Sector-III, Hosur Sarjapur Road, HSR, Bangalore",12.9093000000,77.6387010000,1009
LunchBox - Meals and Thalis,"Shop 2318, BDA Society, Sector 1, HSR, Bangalore",12.9121056666,77.6516380906,559
T’s 21 Spice Biryani,"1669A, 14th Main Road, Sector 7, HSR, Bangalore",12.9106373573,77.6379816234,2843
Biryani Blues,"28 Shop No. 1, Ground Floor, HSR Layout, Sector-3, HSR, Bangalore",12.9136551000,77.6382014000,41
Dilli Da Dhaba,"Green Glen Layout, Bellandur, Bangalore",12.9260100000,77.6696900000,7212
Beyond The Crust - BTC,"Opposite Varalaxmi Hospital, 2nd Main Road, Old Madiwala, 1 stage BTM Layout, BTM, Bangalore",12.9246500764,77.6169221876,1270
ZAZA 22 Spice Awadhi Biryani,"Building 1, F2, First Floor, Haralukunte, Sector 2, BDA Layout, HSR, Bangalore",12.9052950000,77.6490970000,251
NH1 Bowls - Highway To North,"Building 1, F2, First Floor, Haralukunte, Sector 2, BDA Layout, HSR, Bangalore",12.9052950000,77.6490970000,222
New Udupi Grand,"467, CK Complex, Opposite Fernhill Garden Aparment, Teacher Colony, HSR Layout 5th Sector, HSR, Bangalore",12.9169203401,77.6296379417,123
WOW! China,"1/120, 14th Main Road, 5th Sector, HSR, Bangalore",12.9160942084,77.6380218565,4820
The Biryani Life,"Shop 2318, BDA Society, Sector-1, HSR, Bangalore",12.9120801763,77.6516535133,251
Indian Grill House,"17 C, Keonics, 1st Phase, Electronic City, Bangalore",12.8420911000,77.6697114855,6874
UBQ By Barbeque Nation,"86, 1st Cross, I Block, Ward 68, Koramangala 1st Block, Bangalore",12.9256275622,77.6370016113,1885
Smoor,"1/120, 14th Main Road, 5th Sector, HSR Layout, HSR, Bangalore",12.9161608742,77.6380976290,1096
Pepe's Pizza,"77/1, 1st Floor, Bellandur Grama, Outer Ring Road, Bellandur, Bangalore",12.9248782530,77.6747201756,608
The Dessert Heaven - Pure Veg,"72/4, Ground Floor, Roopena Agrahara, Hosur Road, Madiwala Post, Koramangala 2nd Block, Bangalore",12.9122550000,77.6270320000,112
Shanghai Court,"1035, 5th Cross, 13th Main, Vijaya Bank Layout, Bannerghatta Road, Bangalore",12.8937448084,77.6107169688,504
Falahaar & Kota Kachori,"Shop 32, Near Woke Hostel, 14th Main Road, Sector 4, HSR, Bangalore",12.9130210270,77.6381935179,47
Kaati Zone Rolls and Wraps,"659, 22nd Cross Road, Parangi Palaya, Sector 2, HSR, Bangalore",12.9088092300,77.6479356363,2926
Zomoz - The Momo Company,"543/6, Devrachikkanahalli Main Road, Bommanahalli, Bangalore",12.9022897590,77.6240475476,827
Chai Point,"27th Main, Sector 1, Near NIFT, HSR, Bangalore",12.9126657983,77.6518878713,413
Ludos Pizza,"13/A, 1st Floor, Sri Sai Documents And Developers Building, 18th Main, Sector 3, HSR, Bangalore",12.9069892595,77.6440427452,3451
Dande's Hyderabad Biryani,"1/120, 14th Main Road, 5th Sector, HSR Layout, HSR, Bangalore",12.9161043390,77.6379933581,4756
Ande Ka Funda,"49, Kariyammana Agrahara Road, Devarabeesanahalli, Near Manthri Espana Company, Bellandur, Bangalore",12.9317056082,77.6837847009,4
Punjabi Nukkad Pure Veg,"Survey 108 /2, Harlur Main Road, Harlur Village, HSR, Bangalore",12.8978780962,77.6583657414,1047
Donne Biryani Mane,"Y J Corals, Muneshwara Layout, Kudlu Main Road, HSR, Bangalore",12.8923710000,77.6497080000,83
Muthashy's,"3, Brindavan Complex, 20th Main, Maruthi Nagar Main Road, 1st Stage, BTM, Bangalore",12.9208470423,77.6132600382,633
Kataria's,"7, 100 Feet Ring Road, 1st stage, BTM, Bangalore",12.9163419000,77.6165165000,83
Five Star New Ambur Biryani,"260, Mico Layout, BTM 2 Stage, 6Th Main Road, BTM, Bangalore",12.9145628512,77.6056727394,89
Jose Mess,"27/2, 9th Cross, Maruthi Nagar, Madivala, BTM, Bangalore",12.9244504356,77.6146637726,11
The Good Bowl,"Shop 2318, BDA Society, Sector-1, HSR, Bangalore",12.9120517448,77.6516360790,3521
Halli Jonne Biriyani,"44/4, 13th Main, Near Vivekanand School, 4th Block, Jayanagar, Bangalore",12.9287103917,77.5869733840,628
Cakes Wagon,"152, 5th Cross, Bellandur, Bangalore",12.9279980177,77.6779891178,2978
99 Varieties Dosa & Pav Bhaji,"14th Main Road, 7th Cross Road, HSR Layout, Sector 7, HSR, Bangalore",12.9122180852,77.6379762590,37
Kailash Parbat,"1185, Ground Floor, 5th Main, 7th Sector, HSR, Bangalore",12.9103255000,77.6325666000,38
Adiga's,"1159, Ground Floor, Sector 7, HSR Layout, HSR, Bangalore",12.9106637686,77.6326327224,679
Biryani Pot,"18, 4th Main, 14th Cross,  4th Link Road, Maruthi Nagar, Madiwala, BTM, Bangalore",12.9219486386,77.6165360212,989
Momoz,"833/1, 2nd Floor, Sai Durga Enclave, Outer Ring Road, Near Shell Petrol Pump, Bellandur, Bangalore",12.9230851958,77.6711347327,20
Asha Sweet Center,"53/2, 319, Doddakannelli Village, Varthur Hobli, Sarjapur Road, Bangalore",12.9093600000,77.6877110000,460
Biryani King,"Shop 15, 1st Floor, SVBB Complex, CK Nagar, Central Jail Road, Electronic City, Bangalore",12.8701327431,77.6581582055,15
The Parotta Combo,"53/2, S 319, Doddakannelli Village, Varthur Hobli, Sarjapur Road, Bangalore",12.9092732893,77.6878432184,297
Mealful Rolls - India's Biggest Rolls,"Building 1, F2, First Floor, Haralukunte, Sector 2, BDA Layout, HSR, Bangalore",12.9052950000,77.6490970000,308
Calicut Cafe Restaurant,"8, Shop 1&2, Ground Floor, 1st Main Road, 10th Cross, SG Palya, BTM, Bangalore",12.9311877000,77.6081314000,92
Biggies Burger,"447, Ground Floor, 17th Cross Road, Sector 4, HSR, Bangalore",12.9122102420,77.6420579106,371
Chaat Street,"72/4, Roopena Agrahara, Hosur Road, Madiwala, HSR, Bangalore",12.9123050000,77.6269780000,264
Imperio Combo King,"53/2, S 319, Doddakannelli Village, Varthur Hobli, Sarjapur Road, Bangalore",12.9093383229,77.6877211779,674
King Punjabi Restaurant,"153, 3rd Cross, 20th Main Road, 1st Stage, BTM, Bangalore",12.9179938496,77.6127577946,98
Keventers - Milkshakes & Desserts,"3rd Floor, Building 113, 27th Main, 2nd Sector, HSR, Bangalore",12.9105242844,77.6518278569,57
Ambur Star Briyani ® Since 1890,"Shop 19, Ground Floor, Shiva Plaza, 24th Main, JP Nagar, Bangalore",12.9033532003,77.5857100636,63
Mad Over Donuts,"1086/A, Ground Floor, Twin Tulips Service Apartments, 14th Main, 18th Cross, 3rd Sector, HSR, Bangalore",12.9119327902,77.6390967518,71
FB Cakes,"11/1, Ground Floor, 100 Feet Ring Road, 2nd Stage, BTM, Bangalore",12.9165259018,77.6065199822,520
ITC Master Chef Creations,"Counter 15 - 1/120, 14th Main Road, 5th Sector, Hsr Layout, HSR, Bangalore",12.9161840765,77.6379987225,499
Al Khaja Restaurant,"22/23 B, Mangammanapalya Main Road, Near Salarpuria Apartment, Bommanahalli, Bangalore",12.9066399046,77.6317991316,7
Byg Brewski Brewing Company,"10/61/2A/2 & 10/62/2A/3, Doddakannenahalli, Sarjapur Road, Bangalore",12.9129040336,77.6828858256,29507
Ambur Biryani Point,"47/2A-1, Near TVS Godwan, Kudlu Main Road, Bommanahalli, Bangalore",12.8903043261,77.6455528289,4
Chinese BAE,"833/1, 2nd Floor, Sai Durga Enclave, Outer Ring Road, Near Shell Pump, Bellandur, Bangalore",12.9232711358,77.6712500677,922
Chung Wah's,"1/120, 14th Main Road, 5th Sector, HSR, Bangalore",12.9161242734,77.6379732415,45
Laddoos,"91/1, Near Ganesh Temple, Bellandur Main Road, Bellandur, Bangalore",12.9281355910,77.6765434071,116
Sri Vishnu Park,"14, 29th Main, 100 Feet Road, 1st Stage, BTM, Bangalore",12.9166579259,77.6150326431,276
Donne Biryani Palace,"1187, Shop 1 & 2, Ground Floor, 18th Main Cashier Layout, BTM, Bangalore",12.9231891131,77.6133495569,39
Basmati Biriyani Nation,"1/120, 14th Main Road, 5th Sector, HSR, Bangalore",12.9163196956,77.6375494525,7383
Charminar Biryani House,"51/108, Floor 1, 10th Main Road, Stage 1, BTM, Bangalore",12.9144100000,77.6099700000,23
Chaayos Chai+Snacks=Relax,"27th, PWD Quarters, Sector 1, Main Road, HSR, Bangalore",12.9124373667,77.6517886296,919
Eden Huts Restaurant,"35/1 Marathahalli Outer Ring Road, Bellandur, Bangalore.",12.9267167197,77.6785577461,6
Cream Stone Ice Cream,"89, 17th Main Road, HSR, Bangalore",12.9124595889,77.6385646686,1155
Cupcake Bliss Cakes & Desserts,"659, Parangi Palaya, Sector 2, 22nd Cross Road, HSR, Bangalore",12.9088709957,77.6478799805,1493
Yumlane Pizza,"88, Celler Floor, 17th Cross, 14th Main, Sector - 4, HSR, Bangalore",12.9127245200,77.6383412700,31
Starbucks Coffee,"2323, Ground Floor, Prakash Arcade, 17th Cross, 27th Main Road, Sector 1, HSR, Bangalore",12.9120465161,77.6507013291,20
Punjabi Unplugged,"78/2, Ground Floor, Haralur Main Road, HSR, Bangalore",12.8971332793,77.6584200561,70
Hyderabadi Biryani Hub,"Site 6/2, Opposite Food World Supermarket Road, 12th Cross, Kasavannahalli Main Road, Bellandur Ward, Sarjapur Road, Bangalore",12.9087260000,77.6806240000,16789
LeanCrust Pizza- ThinCrust Experts,"Building 1, F2, First Floor, Haralukunte, Sector 2, BDA Layout, HSR, Bangalore",12.9052950000,77.6490970000,279
Krispy Kreme,"MCH Society, Opposite BDA Complex, HSR, Bangalore",12.9134935752,77.6383135468,180
Momo Zone - The Momo Company,"659, 22nd Cross Road, Parangi Palaya, Sector 2, HSR, Bangalore",12.9089053100,77.6479084790,711
Phulke Ghar Ke,"18/1, HMR Complex, Near Ganesh Temple, Bellandur, Bangalore",12.9213934294,77.6759560034,540
Just Shawarma,"Shop 07, 1ST Flor, 1378/1/1, Junnasandra Main Road, Sarjapura, Sarjapur Road, Bangalore",12.9073020000,77.6834550000,162
Sardarji Ka Dhaba,"67/7, 1st Floor, Rupena Agrahara, B.B.M.P South Kartanaka, Hosur Main Road, Bommanahalli, Bangalore",12.9120867123,77.6262590289,647
IDC Kitchen,"56, JNC Road, Koramangala 5th Block, Bangalore",12.9336949924,77.6158054546,176
Sweet Truth - Cake and Desserts,"Shop 2318, BDA Society, Sector-1, HSR, Bangalore",12.9120563200,77.6517383382,1269
1947,"282, Floor 2, 15th Cross, 5th Phase, JP Nagar, Bangalore",12.9065166989,77.5865569711,77
ibaco,"1504, Sector 4, 19th Main Road, Near TVS Kubera Motors, HSR, Bangalore",12.9175013756,77.6447843760,89
Auntie Fung's,"Survey 13/5, 545/15, Opposite ICICI Bank, Bommanahalli, Bangalore",12.9039865569,77.6314947009,650
NH8,"99/4, 1st Floor, Harlur Main Road, Harlur, HSR, Bangalore",12.8943451803,77.6572724059,1322
Texas Burgers,"2724, 31st Main Road, 17th Cross Road, HSR Layout, Sector 1, Bommanahalli, Bangalore",12.9126873000,77.6535135000,3269
Biryani Square,"1A/3, G.R Residency, 20th Main Road, 14th Cross, BTM, Bangalore",12.9230103000,77.6155600000,205
Itminaan Matka Biryani - Slow Cooked,"Building 1, F2, First Floor, Haralukunte, Sector 2, BDA Layout, HSR, Bangalore",12.9052950000,77.6490970000,365
Gyani Da Punjabi Dhaba,"16, 1st Floor, Citi Bank ATM Building, 100 Feet Road, 20th Main, 2nd Stage, BTM, Bangalore",12.9161764000,77.6121997000,1018
Sreeraj Lassi Bar,"5, New Guruppna Palya, Bannerghatta Road, Bangalore",12.9211034775,77.6003036499,1
Pure Veg Meals By LunchBox,"Shop 2318, Sector 1, BDA Society, HSR, Bangalore",12.9120573004,77.6517299563,79
Just Cakes,"386, 7th Cross, 7th Main Road, 2nd Stage, Koramangala 7th Block, Bangalore",12.9285826221,77.6093081385,1333
Bathinda Junction,"2331, 17th Cross, 24th Main Road, HSR, Bangalore",12.9120007643,77.6494866237,726
Daily Sushi,"1212, 4th Floor, SBM Fortune, 3rd Sector, 22nd Cross Road, HSR, Bangalore",12.9093863628,77.6385616511,644
Dum Biryani Adda,"Shop 764, 22nd Cross Road, Sector 3, HSR, Bangalore",12.9093641403,77.6400583237,302
Singh Da Punjabi Dhaba,"78/4, Ground Floor, Lakedew Residency Compound, HSR, Bangalore",12.8972097547,77.6585588604,611
Zaatar Bengaluru,"1195/1276/82, Ground Floor, Suraamy Plaza, Bellandur, Bangalore",12.9233371461,77.6696957275,393
The Dessert Zone,"659, 22nd Cross, Parangi Palaya, Sector 2, HSR, Bangalore",12.9089935466,77.6479869336,224
Afghani Tandoori Hub,"39, 1 St 'C' Cross, Opposite Swaraj Hyper Market, Chocolate Factory Road, Tavarekere, BTM, Bangalore",12.9239805000,77.6126063000,109
AB's - Absolute Barbecues,"1st Floor, GRS Towers, Near Spencers Hyper Market, Sarjapur Road, Bangalore",12.9190908220,77.6699418109,2778
Khan Saheb Grills And Rolls,"61, Carmalaram Post, Kaikondarahalli, Near Purva Sunshine Apartments, Sarjapur Road, Bangalore",12.9143630000,77.6765280000,109
Toscano,"2nd Floor, Nexus, Koramangala 7th Block, Bangalore",12.9346387026,77.6111970842,1916
Just Bake,"102/2B, Harlur Main Road, HSR, Bangalore",12.8950611000,77.6573645000,0
Bucket Biryani,"7th Cross Road, 1st Sector, HSR, Bangalore",12.9195733000,77.6498687000,5
Shree Mahalakshmi Sweets,"1035, 9th Cross, 24th Main, Sector 1, HSR, Bangalore",12.9186464497,77.6492274553,3
Ghee Tadka Khichdi,"13/A, 18th Main, Sector 3, B.B.M.P, HSR, Bangalore",12.9069905667,77.6440434158,1281
Hotel Salam,"45, Opposite Salapuria Sreenidhi Apartment, Mangammanapalya Main Road, B.B.M.P South, Bommanahalli, Bangalore",12.9066631078,77.6333735883,242
Apsara Ice Creams,"32/1, Ground Floor, 14th Cross, 9th Main, Sector 6, HSR Layout, HSR, Bangalore",12.9152108851,77.6355538890,333
Bhartiya Jalpan,"2631, 27th Main Road, Sector 1, HSR Layout, HSR, Bangalore",12.9154775490,77.6516032219,173
Tharavadu Malabar Biryani,"1/120, 14th Main Road, 5th Sector, HSR, Bangalore",12.9164030277,77.6375082135,911
Aubree,"421/A, 80 Feet Road, Koramangala 6th Block, Bangalore",12.9423209199,77.6228549704,93
Udupi Nalapaka,"55/2, Opposite Sakra World Hospital, Outer Ring Road Devarabisanahalli, Bellandur, Bangalore",12.9316745648,77.6860890538,101
RB Food Point,"7, 100 Feet Ring Road, 1st stage, BTM, Bangalore",12.9163967000,77.6164586000,173
Absolute Shawarma,"111, Gurukuteera, 27th Main Road, Sector 2, Near Nift College, HSR, Bangalore",12.9103491193,77.6519200578,684
1522 - The Pub,"3, 4-C Block, Near 80 Feet Road, Koramangala 4th Block, Bangalore",12.9340596675,77.6301338151,1978
Mirchi Maharaj,"89, 14th Main, 17h Cross Road, Sector-4, HSR, Bangalore",12.9122618761,77.6384349167,37
Rajasthani Taj Restaurant,"171/1, P.R Building, 16th Main, Near Shobha Hospital, BTM Layout, Taverekere Main Road, BTM, Bangalore",12.9217793636,77.6109382510,51
Mainland China,"53/2, Serial 319, Doddakannelli Village, Varthur Hobli, Sarjapur Road, Bangalore",12.9093432250,77.6877349243,569
Dum Biryani Hub,"39, 1 St 'C' Cross, Opp Swaraj Hyper Market, Chocolate Factory Road, Tavarekere BTM, Bangalore",12.9239923465,77.6125965267,153
Aligarh House by EatFit,"First Floor, 897/E, 80 Feet Road, Bangalore, Btm Layout, Koramangala 6th Block, Bangalore",12.9404117818,77.6251965854,21375
Paris Panini - Gourmet Sandwiches,"Ground Floor, Building 8A & 8B, The Market Place, The Bay, Campus 8A, RMZ Eco World, Bellandur, Bangalore",12.9200421649,77.6849937066,116
Brik Oven,"70, Jyothi Niwas, Koramangala Industrial Area, College Road, Koramangala 5th Block, Bangalore",12.9328398336,77.6142259687,1276
Chaatimes,"998, 1st Main 1st Block, Near Wipro Park, BTM Layout, Koramangala 1st Block, Bangalore",12.9292304499,77.6349964890,111
IBC - Indian Biryani Company,"2331, Sector 1, 17th Cross Road, HSR, Bangalore",12.9121151437,77.6495134458,3161
JK Eden Huts Restaurant,"55/4, Devarabisanahalli, Bellandur, Bangalore",12.9313687053,77.6848170161,302
Shiv Sagar Signature,"45/1-1, 17th Main, 2nd Phase, JP Nagar, Bangalore",12.9165379931,77.5914204866,153
